tweet_text,label
 قرفت انتحر عن الدرج ,-1.0
صدقت يا رب إجعلنا راضين بقدرك,1.0
 قرف شوهاد شي بخزي عنجد ,-1.0
صحح الخبر . مش تحرير المشتقات النفطية و إنما توليعها,-1.0
قصة جميلة جدا تعكس معنى الايمان و التمسك بالعقيدة الصحيحة و حسن تعاليمها,1.0
الله تعالى معان,1.0
أهلاً وسهلاً بحضرتك :)),1.0
يجب على الحكومة العودة بالتوقيت الى الساعة الثالثة,-1.0
يارب اوقف جنبي وقدرني,1.0
قول يارب وخذ قرار ,1.0
هو رحيم بكل شىء في الكون هو الخالق فلابد ان يرزق مخلوقاته,1.0
وأعظمها امة سيدنا محمد,1.0
انت يا دكتور خير اخ ربنا يزور عليك,1.0
الحمدلله من كل ضيق اسجد لله احس ان فى اعله مستوا وانسا واتذلل الى الله ليحمينى من فتن الدنيا واحسن منزلى فى الجنه,1.0
 ابلعن وإلديتس ي الهبــلاا ,-1.0
 كانت تسوي مقلب انها محترمة بعدين اعترفت انها ................. ,-1.0
وياريت بتظبط الكذب ماوش رجلي,1.0
الاهم نكون صادقين مع نفسنا لنكون صادقين مع الاخرين,1.0
ان الله لا يضيع أجر المحسنين,1.0
الله يفتح عليك,1.0
 مررررعبه,-1.0
الله غلى المسلمين فى توادهم وتراحمهم,1.0
الدول المتقدمة الان تتجه لستخدام الطاقة المتجدده لانها اقل كلفة وليس لها مخاطر على البيئة والانسان ونحن الان نعاني من ضائقة مالية كبيرة وشحة مياه شديدة وكلنا يعلم مدى حاجة المفاعل للمياه اذكركم فقط بما حدث في اليابان وهي الدولة الاكثر تطور في مجال التكنولوجيا وهي عبارة عن جزر وكذلك كم أثر علينا المفاعل النووي الاسرائيلي وحالات السرطان المنتشرة ولو لاحظنا التشوهات الخلقية الاكثر في جنوب البلاد,-1.0
 انا عرف شيء والله ببكي اكتر ما بضحك,-1.0
صباح هادئ ۆ انفاس تحمل تفاؤل ۆ يقين بان گل مَ سيكتبہ أللہ لنا ﻓي كل يومَ خير أصبحنا و أصبح الملك لله ,1.0
إعجبه﻿ إطعم آكيد حمضيات,-1.0
أفعال لا تضاهيها أقوال,1.0
جزاك الله كل خير بسمة أمل رائعة وشيقة جد,1.0
الابتسامه جميله,1.0
ربنا يبارك فيه و يكون قدوه للجميع المسلمين فى انحاء العالم,1.0
يُسعدنِي وُجودُكمْ بِالصَفْحَة ,1.0
الله يهدي الجميع للاسلام ,1.0
 عاهاتك ياعرب,-1.0
الله اكبر والعزه للسلام,1.0
يا معين يا رب,
هبل,-1.0
سلطان القرف ,-1.0
 لازم يحكم عليهم بالسجن,-1.0
 والله انك فشلت العرب,-1.0
طيب الله انفاسك وياسلام لو الشباب او الشابات اذا احبو يحبون كجب شاه جاهان وممتاز محل,1.0
 عنجد هذا الانسان تافه وحقير,-1.0
 كتكوت ضعيف الجناح و الدنيا غدرت هااا,-1.0
و خير الابتسامة ,1.0
 شعب سخيييييييييف,-1.0
 قصدك اخر ما توصل اليه العقل البشري من تفاهات,-1.0
 الللجنه ما تنطاق,-1.0
الطاقة الشمسية هي البديل و ليست النووية,-1.0
ربنا يقدرنى ويعفو عنى,1.0
 اللي غنى عدوله محاولة استخفاف دم من البرنامج ,-1.0
ماعندك شرف ,-1.0
لا يغير الله ما بقوم حتى يغيروا ما بانفسهم,1.0
صباح الزنبق والفل والياسمين,1.0
سننتصر على اعدائنا,1.0
 واضح جدا إن أغلب الناس هاي عندها مشاكل نفسيه,-1.0
